DT,distance(Km),heart,pace
2023-04-04 20:21:32,3.78,,12:49
2023-04-05 18:03:38,8.56,148,7:01
2023-04-06 20:48:31,2.70,,14:10
2023-04-08 18:20:12,8.58,165,6:19
2023-04-09 16:34:59,5.19,,12:47
2023-04-10 18:50:14,5.54,142,7:11
2023-04-12 06:13:46,5.64,151,6:32
2023-04-12 18:54:55,2.58,,6:02
2023-04-13 06:12:42,5.21,159,6:29
2023-04-13 18:40:27,5.57,,13:06
2023-04-14 06:21:22,5.72,152,6:32
2023-04-14 16:00:02,8.75,,5:11
2023-04-15 06:24:14,2.55,,14:22
2023-04-15 19:31:59,2.09,,12:49
2023-04-16 08:10:08,21.34,,5:26
2023-04-17 19:26:13,3.23,,14:35
2023-04-18 17:16:22,2.42,,10:11
2023-04-18 18:45:40,2.69,,13:41
2023-04-18 22:26:21,1.44,,10:13
2023-04-19 17:48:44,2.79,,13:55
2023-04-19 21:09:42,5.01,,8:30
2023-04-20 18:45:00,5.64,,6:18
2023-04-21 18:42:14,5.50,,6:19
2023-04-23 19:04:27,1.90,,11:29
2023-04-24 19:07:33,5.37,,5:55
2023-04-25 18:50:10,5.66,,6:42
2023-04-26 19:41:09,3.58,,7:17
2023-04-27 19:04:04,4.24,,15:31
2023-04-28 06:45:21,3.58,,6:46
2023-04-28 22:58:22,1.96,,13:41
2023-04-29 06:13:39,0.63,,8:07
2023-04-30 06:08:06,5.58,,6:40
2023-05-08 18:07:00,4.99,,7:44
2023-05-09 17:34:00,5.15,,7:37
2023-11-15 22:48:18,4.43,,7:58
2024-01-04 07:27:57,3.47,,9:18
2024-01-10 19:02:44,3.77,,12:38
2024-01-13 16:42:21,7.92,,14:18
2024-01-23 19:33:38,4.07,117,10:19
2024-01-25 18:10:35,2.38,102,13:16
2024-01-26 17:09:13,4.17,148,8:14
2024-01-28 17:17:08,4.58,138,10:34
2024-01-29 17:26:11,0.81,105,13:08
2024-01-29 17:37:25,2.93,146,7:50
2024-01-30 17:50:18,4.69,100,16:21
2024-02-20 12:07:33,2.91,102,10:07
2024-02-25 18:10:54,3.14,133,9:24
2024-02-26 20:19:10,3.32,102,16:18
2024-02-27 21:37:02,3.17,106,15:53
2024-03-01 19:16:28,3.28,136,9:19
2024-03-03 17:56:46,3.17,135,9:03
2024-03-07 21:13:03,2.49,141,9:52
2024-03-09 16:55:30,3.90,138,8:16
2024-03-11 20:57:37,3.30,,7:53
2024-03-12 19:48:24,2.29,104,18:27
2024-03-13 21:54:41,3.81,100,16:20
2024-03-14 20:54:23,3.08,144,8:47
2024-03-16 20:12:12,1.50,92,16:33
2024-03-19 06:45:10,2.24,126,9:37
2024-03-21 20:45:34,3.33,146,7:40
2024-03-30 15:31:07,5.29,128,22:44
2024-03-31 20:05:54,5.53,97,16:29
2024-04-01 20:07:58,2.17,98,16:38
2024-04-09 21:38:28,4.83,158,7:30
2024-04-11 20:26:36,5.16,157,7:14
2024-04-14 20:26:31,2.15,141,9:11
2024-04-15 19:49:59,3.35,136,8:29
2024-04-18 22:07:12,5.05,168,6:01
2024-04-21 19:51:13,1.96,96,9:54
2024-04-22 15:48:07,1.45,178,4:55
2024-04-24 19:57:09,5.05,,7:32
2024-04-24 19:58:45,0.02,148,1:44
